model,account.account.type,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,name,char,,Account Type,char,,Account Type,True,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,note,text,,Description,text,,Description,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,include_initial_balance,boolean,,Bring Accounts Balance Forward,boolean,,Bring Accounts Balance Forward,False,both
1,type,selection,,Type,selection,,Type,True,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
1,internal_group,,,,selection,,Internal Group,True,version 2
,,,,
,,,,
