model,res.currency.rate,transient,False
no,field,type1,type2,relation,string1,string2,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,both
2,display_name,char,char,,Display Name,Display Name,both
3,name,datetime,date,,Date,Date,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
5,company_id,many2one,many2one,res.company,Company,Company,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
7,currency_id,many2one,many2one,res.currency,Currency,Currency,both
8,rate,float,float,,Rate,Rate,both
9,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
10,create_date,datetime,datetime,,Created on,Created on,both
11,id,integer,integer,,ID,ID,both
,,,,
,,,,
,,,,
,,,,
