model;hr.job;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;message_follower_ids;one2many;mail.followers;Followers;one2many;mail.followers;Followers;False;both
2;create_date;datetime;;Created on;datetime;;Created on;False;both
3;employee_ids;one2many;hr.employee;Employees;one2many;hr.employee;Employees;False;both
4;message_needaction;boolean;;Action Needed;boolean;;Action Needed;False;both
5;message_channel_ids;many2many;mail.channel;Followers (Channels);many2many;mail.channel;Followers (Channels);False;both
6;message_partner_ids;many2many;res.partner;Followers (Partners);many2many;res.partner;Followers (Partners);False;both
7;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
8;message_ids;one2many;mail.message;Messages;one2many;mail.message;Messages;False;both
9;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
10;requirements;text;;Requirements;text;;Requirements;False;both
11;message_is_follower;boolean;;Is Follower;boolean;;Is Follower;False;both
12;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
13;company_id;many2one;res.company;Company;many2one;res.company;Company;False;both
14;id;integer;;ID;integer;;ID;False;both
15;state;selection;;Status;selection;;Status;True;both
16;expected_employees;integer;;Total Forecasted Employees;integer;;Total Forecasted Employees;False;both
17;message_unread_counter;integer;;Unread Messages Counter;integer;;Unread Messages Counter;False;both
18;department_id;many2one;hr.department;Department;many2one;hr.department;Department;False;both
19;description;text;;Job Description;text;;Job Description;False;both
20;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
21;display_name;char;;Display Name;char;;Display Name;False;both
22;no_of_hired_employee;integer;;Hired Employees;integer;;Hired Employees;False;both
23;name;char;;Job Title;char;;Job Position;True;both
24;no_of_recruitment;integer;;Expected New Employees;integer;;Expected New Employees;False;both
25;message_unread;boolean;;Unread Messages;boolean;;Unread Messages;False;both
26;no_of_employee;integer;;Current Number of Employees;integer;;Current Number of Employees;False;both
27;message_needaction_counter;integer;;Number of Actions;integer;;Number of Actions;False;both
;;;;
28;message_last_post;datetime;;Last Message Date;;;;False;version 1
;;;;
29;message_has_sms_error;;;;boolean;;SMS Delivery error;False;version 2
30;message_has_error_counter;;;;integer;;Number of errors;False;version 2
31;message_main_attachment_id;;;;many2one;ir.attachment;Main Attachment;False;version 2
32;message_has_error;;;;boolean;;Message Delivery error;False;version 2
33;message_attachment_count;;;;integer;;Attachment Count;False;version 2
34;website_message_ids;;;;one2many;mail.message;Website Messages;False;version 2
;;;;
;;;;
