model,website.published.mixin,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,website_published,boolean,,Visible in Website,boolean,,Visible on current website,False,both
2,display_name,char,,Display Name,char,,Display Name,False,both
3,id,integer,,ID,integer,,ID,False,both
4,website_url,char,,Website URL,char,,Website URL,False,both
5,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
,,,,
,,,,
6,can_publish,,,,boolean,,Can Publish,False,version 2
7,is_published,,,,boolean,,Is Published,False,version 2
,,,,
,,,,
