model,stock.backorder.confirmation,transient,True
no,field,type1,type2,relation,string1,string2,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,both
2,create_date,datetime,datetime,,Created on,Created on,both
3,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
4,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
5,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
6,display_name,char,char,,Display Name,Display Name,both
7,id,integer,integer,,ID,ID,both
,,,,
8,pick_id,many2one,,stock.picking,Pick id,,version 1
,,,,
9,show_transfers,,boolean,,,Show Transfers,version 2
10,backorder_confirmation_line_ids,,one2many,stock.backorder.confirmation.line,,Backorder Confirmation Lines,version 2
11,pick_ids,,many2many,stock.picking,,Pick,version 2
,,,,
,,,,
