model,res.partner.bank,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,bank_bic,char,,Bank Identifier Code,char,,Bank Identifier Code,False,both
1,sequence,integer,,Sequence,integer,,Sequence,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,company_id,many2one,res.company,Company,many2one,res.company,Company,False,both
1,bank_name,char,,Name,char,,Name,False,both
1,bank_id,many2one,res.bank,Bank,many2one,res.bank,Bank,False,both
1,currency_id,many2one,res.currency,Currency,many2one,res.currency,Currency,False,both
1,journal_id,one2many,account.journal,Account Journal,one2many,account.journal,Account Journal,False,both
1,acc_type,char,,Acc type,selection,,Type,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,sanitized_acc_number,char,,Sanitized Account Number,char,,Sanitized Account Number,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,partner_id,many2one,res.partner,Account Holder,many2one,res.partner,Account Holder,True,both
1,id,integer,,ID,integer,,ID,False,both
1,acc_number,char,,Account Number,char,,Account Number,True,both
,,,,
,,,,
1,active,,,,boolean,,Active,False,version 2
2,acc_holder_name,,,,char,,Account Holder Name,False,version 2
,,,,
,,,,
