model,res.country.group,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,name,char,char,,Name,Name,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,country_ids,many2many,many2many,res.country,Countries,Countries,False,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
8,pricelist_ids,many2many,many2many,product.pricelist,Pricelists,Pricelists,False,both
9,create_date,datetime,datetime,,Created on,Created on,False,both
10,id,integer,integer,,ID,ID,False,both
,,,,
,,,,
,,,,
,,,,
