model,hr.contract,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,trial_date_end,date,,Trial End Date,date,,End of Trial Period,False,both
1,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,date_end,date,,End Date,date,,End Date,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,visa_expire,date,,Visa Expire Date,date,,Visa Expire Date,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,employee_id,many2one,hr.employee,Employee,many2one,hr.employee,Employee,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,job_id,many2one,hr.job,Job Title,many2one,hr.job,Job Position,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,date_start,date,,Start Date,date,,Start Date,True,both
1,id,integer,,ID,integer,,ID,False,both
1,visa_no,char,,Visa No,char,,Visa No,False,both
1,state,selection,,Status,selection,,Status,False,both
1,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,department_id,many2one,hr.department,Department,many2one,hr.department,Department,False,both
1,wage,float,,Wage,monetary,,Wage,True,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,name,char,,Contract Reference,char,,Contract Reference,True,both
1,notes,text,,Notes,text,,Notes,False,both
1,permit_no,char,,Work Permit No,char,,Work Permit No,False,both
1,message_unread,boolean,,Unread Messages,boolean,,Unread Messages,False,both
1,message_needaction_counter,integer,,Number of Actions,integer,,Number of Actions,False,both
,,,,
1,working_hours,many2one,resource.calendar,Working Schedule,,,,False,version 1
2,type_id,many2one,hr.contract.type,Contract Type,,,,True,version 1
3,message_last_post,datetime,,Last Message Date,,,,False,version 1
4,advantages,text,,Advantages,,,,False,version 1
5,trial_date_start,date,,Trial Start Date,,,,False,version 1
,,,,
6,currency_id,,,,many2one,res.currency,Currency,False,version 2
7,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
8,message_has_error,,,,boolean,,Message Delivery error,False,version 2
9,first_contract_date,,,,date,,First Contract Date,False,version 2
10,structure_type_id,,,,many2one,hr.payroll.structure.type,Salary Structure Type,False,version 2
11,activity_date_deadline,,,,date,,Next Activity Deadline,False,version 2
12,activity_exception_decoration,,,,selection,,Activity Exception Decoration,False,version 2
13,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
14,activity_type_icon,,,,char,,Activity Type Icon,False,version 2
15,company_id,,,,many2one,res.company,Company,True,version 2
16,activity_user_id,,,,many2one,res.users,Responsible User,False,version 2
17,message_attachment_count,,,,integer,,Attachment Count,False,version 2
18,hr_responsible_id,,,,many2one,res.users,HR Responsible,False,version 2
19,kanban_state,,,,selection,,Kanban State,False,version 2
20,message_has_error_counter,,,,integer,,Number of errors,False,version 2
21,active,,,,boolean,,Active,False,version 2
22,resource_calendar_id,,,,many2one,resource.calendar,Working Schedule,False,version 2
23,activity_type_id,,,,many2one,mail.activity.type,Next Activity Type,False,version 2
24,activity_ids,,,,one2many,mail.activity,Activities,False,version 2
25,activity_summary,,,,char,,Next Activity Summary,False,version 2
26,activity_exception_icon,,,,char,,Icon,False,version 2
27,calendar_mismatch,,,,boolean,,Calendar Mismatch,False,version 2
28,activity_state,,,,selection,,Activity State,False,version 2
29,website_message_ids,,,,one2many,mail.message,Website Messages,False,version 2
30,company_country_id,,,,many2one,res.country,Company country,False,version 2
,,,,
,,,,
