model,ir.ui.view.custom,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,ref_id,many2one,ir.ui.view,Original View,many2one,ir.ui.view,Original View,True,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,user_id,many2one,res.users,User,many2one,res.users,User,True,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,arch,text,,View Architecture,text,,View Architecture,True,both
1,id,integer,,ID,integer,,ID,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
,,,,
,,,,
,,,,
,,,,
