model,stock.return.picking.line,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,display_name,char,,Display Name,char,,Display Name,False,both
3,product_id,many2one,product.product,Product,many2one,product.product,Product,True,both
4,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
5,wizard_id,many2one,stock.return.picking,Wizard,many2one,stock.return.picking,Wizard,False,both
6,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
7,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
8,create_date,datetime,,Created on,datetime,,Created on,False,both
9,id,integer,,ID,integer,,ID,False,both
10,move_id,many2one,stock.move,Move,many2one,stock.move,Move,False,both
11,quantity,float,,Quantity,float,,Quantity,True,both
,,,,
12,to_refund_so,boolean,,To Refund,,,,False,version 1
,,,,
13,to_refund,,,,boolean,,Update quantities on SO/PO,False,version 2
14,uom_id,,,,many2one,uom.uom,Unit of Measure,False,version 2
,,,,
,,,,
