model,ir.config_parameter,transient,False
no,field,type1,type2,relation,string1,string2,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,both
2,display_name,char,char,,Display Name,Display Name,both
3,key,char,char,,Key,Key,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
5,value,text,text,,Value,Value,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
8,create_date,datetime,datetime,,Created on,Created on,both
9,id,integer,integer,,ID,ID,both
,,,,
10,group_ids,many2many,,res.groups,Groups,,version 1
,,,,
,,,,
,,,,
