model,ir.ui.menu,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,web_icon_data,binary,binary,,Web Icon Image,Web Icon Image,False,both
2,groups_id,many2many,many2many,res.groups,Groups,Groups,False,both
3,display_name,char,char,,Display Name,Display Name,False,both
4,name,char,char,,Menu,Menu,True,both
5,web_icon,char,char,,Web Icon File,Web Icon File,False,both
6,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
7,id,integer,integer,,ID,ID,False,both
8,sequence,integer,integer,,Sequence,Sequence,False,both
9,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
10,parent_id,many2one,many2one,ir.ui.menu,Parent Menu,Parent Menu,False,both
11,complete_name,char,char,,Full Path,Full Path,False,both
12,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
13,action,reference,reference,,Action,Action,False,both
14,create_date,datetime,datetime,,Created on,Created on,False,both
15,child_id,one2many,one2many,ir.ui.menu,Child IDs,Child IDs,False,both
16,active,boolean,boolean,,Active,Active,False,both
17,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
,,,,
18,parent_right,integer,,,Parent right,,False,version 1
19,parent_left,integer,,,Parent left,,False,version 1
20,load_xmlid,boolean,,,Load xmlid,,False,version 1
,,,,
21,parent_path,,char,,,Parent Path,False,version 2
,,,,
,,,,
