model,stock.production.lot,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
1,create_date,datetime,,Creation Date,datetime,,Created on,False,both
1,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,product_qty,float,,Quantity,float,,Quantity,False,both
1,id,integer,,ID,integer,,ID,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
1,ref,char,,Internal Reference,char,,Internal Reference,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,name,char,,Lot/Serial Number,char,,Lot/Serial Number,True,both
1,product_id,many2one,product.product,Product,many2one,product.product,Product,True,both
1,product_uom_id,many2one,product.uom,Unit of Measure,many2one,uom.uom,Unit of Measure,False,both
1,quant_ids,one2many,stock.quant,Quants,one2many,stock.quant,Quants,False,both
1,message_unread,boolean,,Unread Messages,boolean,,Unread Messages,False,both
1,message_needaction_counter,integer,,Number of Actions,integer,,Number of Actions,False,both
,,,,
1,message_last_post,datetime,,Last Message Date,,,,False,version 1
,,,,
2,purchase_order_count,,,,integer,,Purchase order count,False,version 2
3,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
4,message_has_error,,,,boolean,,Message Delivery error,False,version 2
5,activity_date_deadline,,,,date,,Next Activity Deadline,False,version 2
6,note,,,,html,,Description,False,version 2
7,activity_exception_decoration,,,,selection,,Activity Exception Decoration,False,version 2
8,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
9,activity_type_icon,,,,char,,Activity Type Icon,False,version 2
10,company_id,,,,many2one,res.company,Company,True,version 2
11,display_complete,,,,boolean,,Display Complete,False,version 2
12,sale_order_count,,,,integer,,Sale order count,False,version 2
13,activity_user_id,,,,many2one,res.users,Responsible User,False,version 2
14,message_attachment_count,,,,integer,,Attachment Count,False,version 2
15,activity_state,,,,selection,,Activity State,False,version 2
16,message_has_error_counter,,,,integer,,Number of errors,False,version 2
17,activity_type_id,,,,many2one,mail.activity.type,Next Activity Type,False,version 2
18,website_message_ids,,,,one2many,mail.message,Website Messages,False,version 2
19,activity_ids,,,,one2many,mail.activity,Activities,False,version 2
20,activity_summary,,,,char,,Next Activity Summary,False,version 2
21,activity_exception_icon,,,,char,,Icon,False,version 2
22,purchase_order_ids,,,,many2many,purchase.order,Purchase Orders,False,version 2
23,sale_order_ids,,,,many2many,sale.order,Sales Orders,False,version 2
,,,,
,,,,
