model,fetchmail.server,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_date,datetime,,Created on,datetime,,Created on,False,both
2,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
3,active,boolean,,Active,boolean,,Active,False,both
4,port,integer,,Port,integer,,Port,False,both
5,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
6,configuration,text,,Configuration,text,,Configuration,False,both
7,display_name,char,,Display Name,char,,Display Name,False,both
8,script,char,,Script,char,,Script,False,both
9,object_id,many2one,ir.model,Create a New Record,many2one,ir.model,Create a New Record,False,both
10,id,integer,,ID,integer,,ID,False,both
11,priority,integer,,Server Priority,integer,,Server Priority,False,both
12,attach,boolean,,Keep Attachments,boolean,,Keep Attachments,False,both
13,state,selection,,Status,selection,,Status,False,both
14,user,char,,Username,char,,Username,False,both
15,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
16,date,datetime,,Last Fetch Date,datetime,,Last Fetch Date,False,both
17,password,char,,Password,char,,Password,False,both
18,name,char,,Name,char,,Name,True,both
19,is_ssl,boolean,,SSL/TLS,boolean,,SSL/TLS,False,both
20,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
21,server,char,,Server Name,char,,Server Name,False,both
22,message_ids,one2many,mail.mail,Messages,one2many,mail.mail,Messages,False,both
23,original,boolean,,Keep Original,boolean,,Keep Original,False,both
,,,,
24,type,selection,,Server Type,,,,True,version 1
25,action_id,many2one,ir.actions.server,Server Action,,,,False,version 1
,,,,
26,server_type,,,,selection,,Server Type,True,version 2
,,,,
,,,,
