model,account.bank.statement.cashbox,transient,False
no,field,type1,type2,relation,string1,string2,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,both
2,display_name,char,char,,Display Name,Display Name,both
3,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
4,cashbox_lines_ids,one2many,one2many,account.cashbox.line,Cashbox Lines,Cashbox Lines,both
5,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
6,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
7,create_date,datetime,datetime,,Created on,Created on,both
8,id,integer,integer,,ID,ID,both
,,,,
,,,,
9,start_bank_stmt_ids,,one2many,account.bank.statement,,Start Bank Stmt,version 2
10,currency_id,,many2one,res.currency,,Currency,version 2
11,end_bank_stmt_ids,,one2many,account.bank.statement,,End Bank Stmt,version 2
12,total,,float,,,Total,version 2
,,,,
,,,,
