model,product.public.category,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,name,char,char,,Name,Name,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,sequence,integer,integer,,Sequence,Sequence,False,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
7,parent_id,many2one,many2one,product.public.category,Parent Category,Parent Category,False,both
8,website_meta_description,text,text,,Website meta description,Website meta description,False,both
9,website_meta_title,char,char,,Website meta title,Website meta title,False,both
10,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
11,website_meta_keywords,char,char,,Website meta keywords,Website meta keywords,False,both
12,child_id,one2many,one2many,product.public.category,Children Categories,Children Categories,False,both
13,id,integer,integer,,ID,ID,False,both
14,create_date,datetime,datetime,,Created on,Created on,False,both
,,,,
15,image_medium,binary,,,Medium-sized image,,False,version 1
16,image,binary,,,Image,,False,version 1
17,image_small,binary,,,Small-sized image,,False,version 1
,,,,
18,image_1024,,binary,,,Image 1024,False,version 2
19,website_id,,many2one,website,,Website,False,version 2
20,website_meta_og_img,,char,,,Website opengraph image,False,version 2
21,website_description,,html,,,Category Description,False,version 2
22,product_tmpl_ids,,many2many,product.template,,Product Tmpl,False,version 2
23,parents_and_self,,many2many,product.public.category,,Parents And Self,False,version 2
24,image_128,,binary,,,Image 128,False,version 2
25,is_seo_optimized,,boolean,,,SEO optimized,False,version 2
26,parent_path,,char,,,Parent Path,False,version 2
27,image_512,,binary,,,Image 512,False,version 2
28,image_256,,binary,,,Image 256,False,version 2
29,seo_name,,char,,,Seo name,False,version 2
30,image_1920,,binary,,,Image,False,version 2
,,,,
,,,,
