model,hr.expense.sheet,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,message_follower_ids,one2many,one2many,mail.followers,Followers,Followers,False,both
2,address_id,many2one,many2one,res.partner,Employee Home Address,Employee Home Address,False,both
3,create_date,datetime,datetime,,Created on,Created on,False,both
4,message_needaction,boolean,boolean,,Action Needed,Action Needed,False,both
5,message_channel_ids,many2many,many2many,mail.channel,Followers (Channels),Followers (Channels),False,both
6,message_partner_ids,many2many,many2many,res.partner,Followers (Partners),Followers (Partners),False,both
7,company_id,many2one,many2one,res.company,Company,Company,True,both
8,currency_id,many2one,many2one,res.currency,Currency,Currency,False,both
9,id,integer,integer,,ID,ID,False,both
10,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
11,employee_id,many2one,many2one,hr.employee,Employee,Employee,True,both
12,display_name,char,char,,Display Name,Display Name,False,both
13,account_move_id,many2one,many2one,account.move,Journal Entry,Journal Entry,False,both
14,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
15,journal_id,many2one,many2one,account.journal,Expense Journal,Expense Journal,False,both
16,message_ids,one2many,one2many,mail.message,Messages,Messages,False,both
17,state,selection,selection,,Status,Status,True,both
18,message_is_follower,boolean,boolean,,Is Follower,Is Follower,False,both
19,message_unread_counter,integer,integer,,Unread Messages Counter,Unread Messages Counter,False,both
20,accounting_date,date,date,,Accounting Date,Accounting Date,False,both
21,department_id,many2one,many2one,hr.department,Department,Department,False,both
22,expense_line_ids,one2many,one2many,hr.expense,Expense Lines,Expense Lines,False,both
23,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
24,payment_mode,selection,selection,,Payment By,Paid By,False,both
25,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
26,name,char,char,,Expense Report Summary,Expense Report Summary,True,both
27,bank_journal_id,many2one,many2one,account.journal,Bank Journal,Bank Journal,False,both
28,total_amount,float,monetary,,Total Amount,Total Amount,False,both
29,attachment_number,integer,integer,,Number of Attachments,Number of Attachments,False,both
30,message_unread,boolean,boolean,,Unread Messages,Unread Messages,False,both
31,message_needaction_counter,integer,integer,,Number of Actions,Number of Actions,False,both
,,,,
32,responsible_id,many2one,,res.users,Validation By,,False,version 1
33,message_last_post,datetime,,,Last Message Date,,False,version 1
,,,,
34,message_main_attachment_id,,many2one,ir.attachment,,Main Attachment,False,version 2
35,message_has_error,,boolean,,,Message Delivery error,False,version 2
36,activity_date_deadline,,date,,,Next Activity Deadline,False,version 2
37,user_id,,many2one,res.users,,Manager,False,version 2
38,activity_exception_decoration,,selection,,,Activity Exception Decoration,False,version 2
39,message_has_sms_error,,boolean,,,SMS Delivery error,False,version 2
40,activity_type_icon,,char,,,Activity Type Icon,False,version 2
41,activity_user_id,,many2one,res.users,,Responsible User,False,version 2
42,message_attachment_count,,integer,,,Attachment Count,False,version 2
43,message_has_error_counter,,integer,,,Number of errors,False,version 2
44,activity_type_id,,many2one,mail.activity.type,,Next Activity Type,False,version 2
45,can_reset,,boolean,,,Can Reset,False,version 2
46,activity_ids,,one2many,mail.activity,,Activities,False,version 2
47,activity_summary,,char,,,Next Activity Summary,False,version 2
48,is_multiple_currency,,boolean,,,Handle lines with different currencies,False,version 2
49,activity_exception_icon,,char,,,Icon,False,version 2
50,amount_residual,,monetary,,,Amount Due,False,version 2
51,activity_state,,selection,,,Activity State,False,version 2
52,website_message_ids,,one2many,mail.message,,Website Messages,False,version 2
,,,,
,,,,
